Designator,Mid X,Mid Y,Rotation,Layer
C1,151.55,-84.9,-90.0,top
C2,136.955113,-128.6,180.0,bottom
C3,135.044888,-138.7,0.0,bottom
C4,128.8,-89.0,-90.0,top
C5,141.85,-93.2,0.0,top
C6,142.025,-118.675,0.0,top
C7,141.8,-66.35,0.0,top
D1,94.725,-101.5,0.0,top
D2,131.91,-93.7,0.0,top
D3,131.91,-89.8,0.0,top
D4,83.725,-101.5,0.0,top
D5,89.325,-96.5,0.0,top
D6,89.225,-106.75,0.0,top
J1,126.0,-43.75,0.0,top
J2,74.0,-43.775,180.0,bottom
J3,157.0525,-128.52,180.0,bottom
J4,92.94,-116.0,90.0,top
J5,92.94,-138.0,90.0,top
J6,88.5,-138.0,-90.0,top
J7,88.5,-127.0,-90.0,top
J8,92.94,-127.0,90.0,top
Q1,99.53,-85.36,0.0,top
Q2,130.83,-113.26,0.0,top
Q3,133.37,-117.4,180.0,top
Q4,73.73,-94.36,0.0,top
Q5,73.73,-101.86,0.0,top
Q6,105.43,-85.36,0.0,top
R1,99.75,-95.5,0.0,top
R10,151.715,-103.375,90.0,top
R11,137.4,-101.4,180.0,top
R12,129.79,-62.6,0.0,top
R13,129.84,-81.466666,0.0,top
R14,149.0,-128.5,180.0,top
R15,148.9,-138.7,180.0,top
R16,137.46,-85.3,180.0,top
R17,129.84,-73.8,0.0,top
R18,129.69,-97.6,0.0,top
R19,140.04,-70.3,0.0,top
R2,99.75,-91.0,0.0,top
R20,137.31,-58.0,180.0,top
R21,137.435,-107.875,180.0,top
R22,136.8,-111.69,-90.0,top
R23,137.31,-54.3,180.0,top
R24,137.32,-43.933333,180.0,top
R25,129.79,-66.3,0.0,top
R26,129.7,-40.5,0.0,top
R27,108.0,-141.81,90.0,top
R28,84.31,-116.0,180.0,top
R29,107.75,-119.56,90.0,top
R3,75.75,-81.69,-90.0,top
R30,80.75,-89.31,90.0,top
R31,76.69,-119.5,0.0,top
R32,73.5,-141.81,90.0,top
R33,98.44,-105.75,0.0,top
R34,99.75,-99.5,0.0,top
R35,98.5,-109.0,0.0,top
R4,129.7,-47.366666,0.0,top
R5,129.7,-50.8,0.0,top
R6,127.4,-126.5,90.0,top
R7,127.0,-115.01,90.0,top
R8,155.25,-103.5,90.0,top
R9,151.625,-118.25,90.0,top
RV1,88.0,-53.975,90.0,top
RV2,80.5,-78.725,90.0,top
RV3,128.0,-131.05,90.0,bottom
RV4,96.0,-78.725,90.0,top
SW1,86.6,-84.6,0.0,top
U1,148.025,-114.975,180.0,top
U2,140.475,-74.575,0.0,top
U3,140.475,-47.275,0.0,top
