Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_D3.0mm,1,Orange Led,
D4,LED_D3.0mm,1,yellow Led,
D5,LED_D3.0mm,1,Red Led,
D6,LED_D3.0mm,1,Green Led,
H1,MountingHole_3.2mm_M3,1,MountingHole,
J2,PinHeader_1x13_P2.54mm_Vertical,1,Conn_01x13_Female,
J4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,FM level,
J5,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,270°,
J6,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,180°,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,0°,
J8,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,90°,
"Q1, Q4, Q5, Q6",TO-92_HandSolder,4,BC547C,
"R1, R2, R28, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,22k,
"R27, R29, R30, R31, R32, R33, R34, R35",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,1k,
RV1,Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical,1,Output Level 100k,
RV2,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,Rate 25k lin,
RV4,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,FM Level 10k lin,
SW1,SW_PUSH_E-Switch_FS5700DP_DPDT,1,SW_Push_DPDT,
