Designator,Mid X,Mid Y,Rotation,Layer
D1,94.725,-101.5,0.0,top
D4,83.725,-101.5,0.0,top
D5,89.325,-96.5,0.0,top
D6,89.225,-106.75,0.0,top
J2,74.0,-43.775,180.0,bottom
J4,93.0,-116.0,90.0,top
J5,92.94,-138.0,90.0,top
J6,88.5,-138.0,-90.0,top
J7,88.5,-127.0,-90.0,top
J8,92.94,-127.0,90.0,top
Q1,99.53,-85.36,0.0,top
Q4,73.73,-94.36,0.0,top
Q5,73.73,-101.86,0.0,top
Q6,105.43,-85.36,0.0,top
R1,99.75,-95.5,0.0,top
R2,99.75,-91.0,0.0,top
R27,108.0,-141.81,90.0,top
R28,84.31,-116.0,180.0,top
R29,107.8,-119.6,90.0,top
R3,75.75,-81.69,-90.0,top
R30,80.75,-89.31,90.0,top
R31,76.69,-119.5,0.0,top
R32,73.5,-141.81,90.0,top
R33,98.44,-105.75,0.0,top
R34,99.75,-99.5,0.0,top
R35,98.5,-109.0,0.0,top
RV1,88.05,-54.025,90.0,top
RV2,80.5,-78.725,90.0,top
RV4,96.0,-78.725,90.0,top
SW1,86.6,-84.6,0.0,top
